Years,GDP,Agriculture,Arable Land,Birth Rate,Death Rate,Individuals using Internet,Industry,Literacy,Mobile Subscriptions,Mortality Rate,Cropland,Population Density,Population,Services,Surface Area
1990,360857912565.966,26.5843081183771,13.1866961361276,21.06,6.67,0.0,41.0329773968387,77.7850570678711,0.001556568,42.1,0.798870929086891,120.915506084734,1135185000.0,32.3829941062899,9562950.0
2000,1211346869605.24,14.6762416552997,12.5870505804082,14.03,6.45,1.775913207,45.5361354102345,90.9202117919922,6.606481691,30.1,1.17168110674867,134.492481002789,1262645000.0,39.7876392045868,9562920.0
2010,6087164527421.24,9.32516385425288,11.4207059411877,11.9,7.11,34.3,46.497822353867,95.1244812011719,62.75543093,13.6,1.54449017111753,142.487739610674,1337705000.0,44.1769895270617,9562911.25
