Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Permanent cropland (% of land area),AG.LND.CROP.ZS,Afghanistan,AFG,..,0.076586098,0.091903318,0.091903318,0.111815703,0.114879147,0.119474313,0.206782465,0.208314187,0.208314187,0.208314187,0.208314187,0.208314187,0.211377631,0.211377631,0.211377631,0.211377631,0.214441075,0.214441075,0.212909353,0.212909353,0.219036241,0.220567963,0.220567963,0.220567963,0.220567963,0.220567963,0.206782465,0.199123855,0.199123855,0.199123855,0.183806635,0.183806635,0.168489416,0.168489416,0.153172196,0.160830806,0.160830806,0.168489416,0.153172196,0.107220537,0.107220537,0.114879147,0.211377631,0.145513586,0.160830806,0.177679748,0.177679748,0.177679748,0.17921147,0.180743191,0.182274913,0.183806635,0.191465245,0.212909353,0.222099684,0.277241675,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Albania,ALB,..,1.715328467,1.861313869,2.00729927,2.116788321,2.262773723,2.372262774,2.481751825,2.554744526,2.737226277,2.846715328,2.919708029,3.065693431,3.211678832,3.467153285,3.613138686,4.01459854,4.087591241,4.160583942,4.160583942,4.270072993,4.306569343,4.379562044,4.416058394,4.525547445,4.525547445,4.525547445,4.525547445,4.525547445,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.452554745,4.452554745,4.452554745,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.379562044,3.175182482,3.175182482,2.554744526,2.700729927,2.806569399,2.890510838,2.934306625,2.95620438,3.036496239,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Algeria,DZA,..,0.249397499,0.251916666,0.256115277,0.260733749,0.243939305,0.236381805,0.237221527,0.228404444,0.232603055,0.231763333,0.252336527,0.252336527,0.261573471,0.261573471,0.272909721,0.274589166,0.267871388,0.272909721,0.273329583,0.266191944,0.262413194,0.263672777,0.268291249,0.24981736,0.252336527,0.237641388,0.233022916,0.22714486,0.228404444,0.232603055,0.229244166,0.22336611,0.222946249,0.222106527,0.214129166,0.217907916,0.213709305,0.215388749,0.217907916,0.222526388,0.243519444,0.276688471,0.311117082,0.337148471,0.357721666,0.381233888,0.386692082,0.382493471,0.380394166,0.381653749,0.38585236,0.387951666,0.394249582,0.407181299,0.419987063,0.425487259,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,American Samoa,ASM,..,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11.49999976,11.44999981,11.49999976,10,10,8.500000238,8.500000238,8.500000238,8.500000238,8.999999762,9.200000167,9.499999881,9.499999881,9.499999881,9.499999881,9.499999881,9.499999881,9.499999881,9.499999881,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Angola,AGO,..,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.320847036,0.240635277,0.240635277,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,0.232614101,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Argentina,ARG,..,0.319729308,0.321921738,0.323748762,0.325941192,0.327768216,0.329960646,0.331787671,0.3339801,0.335807125,0.337999554,0.340191984,0.342019008,0.344211438,0.346038463,0.348230892,0.350057917,0.352250346,0.354077371,0.3562698,0.35846223,0.360289255,0.362481684,0.364674114,0.366501138,0.368328163,0.370520592,0.372347617,0.374540047,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.370885997,0.370885997,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.10748156,2.10748156,2.283105023,2.072356867,1.966982789,1.510361784,1.334738321,1.334738321,1.334738321,1.334738321,1.264488936,1.369863014,1.756234633,1.756234633,1.791359326,1.896733404,1.896733404,1.861608711,1.935370512,1.875658642,1.991570101,2.026694793,2.012644863,2.023182244,2.037232174,..,..,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
