Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,25233.74499,25351.52151,25060.88252,26112.69406,27392.13755,28467.77309,28488.11261,29903.72065,30878.00816,32368.50689,34013.27257,34199.2734,34890.11156,35258.74439,35788.16585,35827.46707,36387.87145,37274.59132,37174.04931,38261.47168,38944.73183,39611.10739,40252.66834,38869.73778,40192.80751,41728.13809,42707.07436,43136.3941,44872.49126,45824.47188,46763.4529,45987.79218,45620.57731,46996.77365,48353.96248,49605.96503,50857.40812,52286.43949,54112.50067,56212.03635,57730.48609,58057.07516,59647.65869,60675.33199,62408.30907,63563.50638,64383.00504,66441.74077,67505.64727,67409.42388,67741.1463,68451.67221,69902.63033,70485.85729,71201.36979,71722.84845,72567.68008,73044.92425,74046.4757,74315.80922,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Austria,AUT,10861.65945,11400.47565,11630.93281,12034.69671,12686.89736,13043.4008,13683.11165,13989.75152,14539.72248,15398.94679,16315.26058,17073.42141,18028.23225,18805.41239,19513.50633,19494.18203,20422.76202,21451.9973,21424.1461,22610.28278,23001.75216,22910.06251,23354.08728,24087.31875,24101.18668,24691.80209,25244.01002,25570.42649,26375.83019,27277.91041,28247.24399,28929.12855,29211.50355,29124.23299,29709.26941,30455.24326,31128.74115,31744.46015,32845.30404,33947.27866,35008.9583,35317.12784,35724.22001,35885.31714,36638.80515,37206.66168,38301.80921,39600.90348,40053.66343,38444.97211,39057.23794,40063.52749,40152.64904,39926.87112,39878.01234,39833.53233,40225.74853,40936.57268,41723.42218,42221.86224,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1603.020251,1567.279576,1194.833907,904.9743829,716.9375675,625.0981002,626.8619477,656.8527924,715.7126374,761.9589991,839.6104664,915.6105139,994.5851357,1087.842023,1178.149642,1492.245452,1984.642674,2461.923019,2666.099916,2855.97474,2957.35787,2873.156481,2897.689964,3027.599288,3073.692415,3069.173325,2942.073489,2917.820551,2936.053557,2976.180143,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Bahamas, The",BHS,18156.84486,19118.47716,20075.64271,21099.72037,22204.75223,23408.05369,24428.77235,25679.16808,26783.92775,28190.92497,25795.9411,25535.28499,24091.24163,25393.12613,20727.27994,17305.99411,17824.6659,19042.69506,21270.50607,26243.53709,27336.72077,24268.85495,25323.2787,25663.06145,28683.16302,29471.64441,29444.06969,29792.58823,29965.82266,31437.71053,30393.77215,28588.86892,26976.23755,26556.15766,26918.0173,27661.6784,28444.80382,28689.92685,29708.22135,31455.54339,32322.25357,32670.33025,33004.03042,32017.47523,31716.21291,32190.95054,32385.65339,32235.19439,30909.62259,29117.25838,29120.67324,28921.48274,29485.67594,28335.91163,28277.75724,28175.12279,28021.91405,27759.27871,27910.33088,28132.23718,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7965.561786,7255.147546,6501.354321,6732.669112,6882.560255,6364.353834,6230.891621,6641.499562,6858.518953,6656.141613,6743.470362,7297.277935,7587.125253,8353.990787,8130.336273,8238.287945,8355.014291,8377.949544,8510.754603,8558.193738,8631.16921,8428.502821,8265.201742,8294.135928,8326.372186,8296.894611,8195.161193,8210.90259,8107.561089,7819.371922,7791.523621,7714.237207,7867.691122,8198.724135,8420.635069,8435.835962,8398.629252,8320.290695,8075.771024,7863.313534,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bangladesh,BGD,19592.40505,20211.33869,20730.02407,20062.3896,21622.03433,21317.46223,21186.58707,20128.30482,21356.72523,21010.00655,21654.31247,20061.99885,16975.18333,17277.33779,18630.28968,17530.97339,18113.43412,18139.10268,18910.88492,19287.45395,18930.14138,19771.23563,19672.43492,19911.55674,20331.25741,20467.27771,20766.97358,20990.9535,20947.44232,21004.85575,21653.27229,21892.89699,22574.69023,23131.2874,23522.30229,24204.74216,24766.20216,25337.48094,26101.32479,26773.22745,27645.36524,28506.18803,29065.01835,29920.06854,30983.23635,32521.8152,34227.432,36196.68015,37936.35426,39407.71629,41138.10138,43299.12518,45593.2189,47779.14093,50099.34777,52789.06685,55930.50591,59365.81572,63365.30113,67820.8854,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22320.79327,21762.37573,22580.17633,23275.30314,24286.91145,26084.19789,27112.37193,26502.3806,25125.74681,25181.7197,26015.96105,26223.0599,27471.05291,28083.20317,28960.1007,29889.55866,28792.50084,27567.24767,25900.96087,26008.62533,26429.53947,26854.16706,27807.63081,29002.15148,29955.14896,29931.48482,31140.08434,30293.57798,30428.8196,30988.33882,31316.74925,32433.05841,34204.63678,34804.44923,34892.44354,32984.23359,32112.74195,31800.04735,31575.60804,31066.21268,30969.89379,31672.765,32404.23239,32508.48085,32273.81987,32199.65682,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3967.856461,3918.319541,3534.532821,3258.572009,2880.695101,2589.458338,2670.871437,2987.996975,3254.429069,3379.263206,3592.144503,3781.231114,3997.369401,4308.961065,4835.198033,5325.959376,5894.536792,6430.907808,7111.381777,7141.509231,7711.549438,8141.266727,8286.210728,8368.032443,8504.847374,8166.129167,7949.832101,8153.942657,8423.821208,8541.758742,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belgium,BEL,10576.08818,11065.78826,11596.28597,12010.77823,12725.31616,13059.28504,13380.73444,13821.17145,14344.30892,15252.05748,16089.05148,16699.87051,17515.50687,18574.75519,19361.72625,18926.31402,19960.4743,20060.67163,20611.53564,21075.11537,21987.45889,21926.62976,22063.08558,22133.64605,22679.88703,23047.64569,23459.38496,23980.06084,25032.97616,25807.49618,26537.91752,26924.14287,27225.57635,26858.57572,27639.97729,28239.91687,28557.24784,29568.96725,30084.7554,31079.26636,32156.30289,32398.2727,32803.89556,33005.91849,34036.99616,34636.20247,35286.73512,36316.53444,36191.79992,35176.29289,35854.75806,35991.01272,36032.9117,36028.16888,36434.7777,36960.63116,37317.60233,37881.86503,38270.80891,38615.68061,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belize,BLZ,1879.829249,1916.849519,1955.281155,1995.235813,2035.947763,2074.930031,2109.746038,2147.700813,2238.990703,2290.177845,2342.899118,2384.70427,2579.657884,2672.65225,2988.534503,3050.535044,3006.918393,3159.206944,3360.961393,3553.764552,3951.57277,3903.998029,3798.527104,3614.016965,3581.288734,3517.218878,3576.116817,3852.072747,4117.887425,4540.94893,4950.418571,5414.695911,5967.884564,6236.565767,6120.757636,6002.943038,5897.722592,5888.611337,5879.008356,6161.144074,6728.665871,6829.685215,6954.089139,7404.286907,7560.10763,7508.80902,7667.61977,7508.067887,7572.769968,7400.486247,7438.039595,7402.259589,7407.100592,7336.100545,7438.180244,7489.755716,7344.191097,7334.559264,7345.113569,7227.304517,..
