Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Arable land (% of land area),AG.LND.ARBL.ZS,Australia,AUS,..,3.92916184,4.178826653,4.300014319,4.605391614,4.811840204,5.156528644,5.373130443,5.38770941,5.402028038,5.416867344,5.351261992,5.286958333,5.234890593,5.482863205,5.496530987,5.477005584,5.348268097,5.534540437,5.718599898,5.731486664,5.599104435,6.036473452,5.833799774,6.128373013,6.137484868,6.093617797,6.110279474,6.117959465,6.20907801,6.235111881,5.94873931,6.143993335,6.02684092,6.15701027,5.21940044,4.723064707,5.189982167,5.734610729,5.92661052,6.157530948,6.483344832,6.221964776,6.123166239,6.214675293,6.430626245,6.211030551,5.745675123,5.724717858,5.937805084,5.541048905,6.206214285,6.132668602,6.016297203,6.112362183,6.004191453,5.986463894,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Austria,AUT,..,20.45289416,20.35601841,20.05328167,20.06539114,20.10171954,19.56890288,19.37515137,19.38726084,19.19350932,19.20561879,19.21772826,19.22983773,18.33373698,18.33373698,18.29740857,18.4063938,18.51537903,18.73334948,18.44272221,18.60014531,18.75756842,18.58803584,17.42552676,17.49818358,17.53451199,17.42552676,17.42552676,17.65560668,17.66771615,17.26810366,17.49818358,17.38919835,17.18333737,17.23177525,17.12279002,17.07435214,17.02591426,17.00169533,16.97747639,16.94114798,16.79583434,16.7716154,16.71143169,16.70259202,16.71954409,16.67716095,16.66303413,16.57826579,16.54920206,16.5166961,16.46782427,16.4147093,16.40474596,16.37967577,16.31181619,16.29230665,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.48259322,20.61838337,20.71211333,20.7445595,21.44754085,21.64461479,21.77947226,22.06517169,22.10035683,22.22289313,22.23849636,22.24386532,22.26509468,22.29857187,22.28178667,22.4376419,22.51322095,22.68160969,22.79447426,22.81327876,22.94756822,23.292079,23.30546974,23.44095904,24.18047659,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,"Bahamas, The",BHS,..,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.899100899,0.899100899,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bahrain,BHR,..,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.361111177,2.054794521,2.027027027,1.959459524,1.866666635,1.578947431,1.789473703,2.099737648,2.086049658,2.077922109,2.077922109,2.07522705,2.05655522,2.05655522,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bangladesh,BGD,..,66.10586157,66.04440347,66.10586157,66.37474072,67.42721057,67.58853807,67.93423984,67.82668818,67.68072521,67.88814627,67.88814627,70.16209572,70.1467312,70.1467312,70.2466006,70.20050703,70.1467312,70.10063763,70.0468618,70.06990858,69.97772144,69.93931013,69.82407621,70.56157333,70.30805869,70.37719905,70.94568641,73.26572943,73.38864562,72.64346624,72.09802566,66.13659061,65.34531766,64.59245602,64.56172697,64.20066067,64.45417531,64.94584006,64.80755935,64.14688484,63.78581854,63.40170546,63.20964892,62.55665668,60.77437198,60.53622186,60.04455712,59.94468772,59.89091188,59.85250058,58.98440501,58.92294692,58.98440501,58.91526465,59.40109268,59.64669249,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Barbados,BRB,..,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,34.88372093,34.88372093,32.55813953,32.55813953,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,27.90697674,25.58139535,23.25581395,22.09302326,20.93023256,18.60465116,16.27906977,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.99408401,30.09268389,30.68921317,30.72372313,30.71386314,30.44271347,30.5018734,30.47722343,30.23565372,28.40169592,27.6882118,27.45649066,27.35565307,27.32337425,27.30409069,27.20059142,27.18580582,27.33458239,27.279448,27.24853383,27.21403578,27.40010242,27.89582792,27.97051741,28.00066795,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.4676354,27.90620872,27.47688243,27.57595773,27.74108322,27.84015852,27.80713342,27.70805812,27.87318362,27.74108322,27.54293263,27.24570674,26.51915456,26.94848085,26.98150594,27.39431968,28.05151996,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belize,BLZ,..,1.578255151,1.578255151,1.622095572,1.622095572,1.622095572,1.665935993,1.665935993,1.665935993,1.709776414,1.709776414,1.753616835,1.753616835,1.797457256,1.797457256,1.841297676,1.841297676,1.885138097,1.885138097,1.885138097,1.972818939,2.01665936,2.01665936,2.01665936,2.01665936,1.885138097,1.928978518,2.148180623,2.192021043,2.279701885,2.279701885,2.367382727,2.455063569,2.630425252,2.630425252,2.718106094,2.761946515,2.805786936,2.805786936,2.805786936,2.805786936,2.849627356,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.200350723,3.288031565,3.288031565,3.419552828,3.419552828,3.419552828,3.419552828,3.419552828,..,..,..,..
